dwc:kingdom,bdq:sourceAuthority,bdq:sourceAuthority response,Response:Status,Response:Result,Response:Comment,Explanation
,,,INTERNAL_PREREQUISITES_NOT_MET,,"[any human readable explanation, e.g. a value must be provided to be validated]",Genus is EMPTY or missing
Null,,,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the value does not have an equivalent at the rank of Kingdom in the bdq:sourceAuthority]",
Animalia,,Animalia,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the value has an equivalent at the rank of Kingdom in the bdq:sourceAuthority]",
Metazoa,Parameterized  Source Authority,Metazoa,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the value has an equivalent at the rank of Kingdom in the Parameterized Source Authority]",
Metazoa,,,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the value does not have an equivalent at the rank of Kingdom in the bdq:sourceAuthority]",
animals,,,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the value does not have an equivalent at the rank of Kingdom in the bdq:sourceAuthority]",This may be fixed using fuzzy matching at the AMENDMENT stage
Fungi,,Fungi,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the value has an equivalent at the rank of Kingdom in the bdq:sourceAuthority]",
fungus,,,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the value does not have an equivalent at the rank of Kingdom in the bdq:sourceAuthority]",
dwc:kingdom,,,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the value not found in the bdq:sourceAuthority]",
,,,,,,
