dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,Response:Status,Response:Result,Response:Comment,Explanation
,,,,,INTERNAL_PREREQUISITES_NOT_MET,,"[any human readable explanation, e.g. a value must be provided in one of the fields (kingdon, phylum, class, order, family) to be validated]","All fields (kingdon, phylum, class, order, family) are EMPTY or missing"
Plantae,Magnoliophyta,,,,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
Plantae,,Magnoliopsida,,,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
Plantae,,,Myrtales,,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
Plantae,,,,Myrtaceae,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,Magnoliophyta,Magnoliopsida,,,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,Magnoliophyta,,Myrtales,,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,Magnoliophyta,,,Myrtaceae,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,,Magnoliopsida,Myrtales,,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,,Magnoliopsida,,Myrtaceae,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,,,Myrtales,Myrtaceae,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",Not all fields need to be occupied
,Chordata,,Rhopalocera,Muricidae,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the combinations given cannot be unambiguously resolved by the  bdq:sourceAuthority]",
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. the values in kingdom and class are unambiguously resolvable by the bdq:sourceAuthority]",
Plantae,Arthropoda,Insecta,Coleoptera,Curculionidae,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the combinations given cannot be unambiguously resolved by the  bdq:sourceAuthority]",
Animalia,Magnoliophyta,Insecta,Coleoptera,Curculionidae,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the combinations given cannot be unambiguously resolved by the  bdq:sourceAuthority]",
Animalia,Arthropoda ,Magnoliopsida,Coleoptera,Curculionidae,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the combinations given cannot be unambiguously resolved by the  bdq:sourceAuthority]",
Animalia,Arthropoda ,Insecta,Myrtales,Curculionidae,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the combinations given cannot be unambiguously resolved by the  bdq:sourceAuthority]",
Animalia,Arthropoda ,Insecta,Coleoptera,Myrtaceae,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. the combinations given cannot be unambiguously resolved by the  bdq:sourceAuthority]",
,,,,,,,,
,,,,,,,,
,,,,,,,,
